hs_code,product,world_imports_usd_m,india_exports_usd_m,india_share_pct,signal
0904,Pepper; dried/crushed Capsicum & Pimenta,6042,2830,47,Moderate presence
0905,Vanilla,845,7,1,Hard to enter — India barely present
0906,Cinnamon,1017,23,2,Hard to enter — India barely present
0907,Cloves,799,30,4,Hard to enter — India barely present
0908,"Nutmeg, mace & cardamoms",1185,267,23,Strong lane — India sells well here
0909,"Anise, coriander, cumin, caraway seeds",1949,1624,83,Saturated — India already dominates
0910,"Ginger, turmeric, curry & other spices",4386,1014,23,Strong lane — India sells well here
0901,Coffee,58306,1493,3,Hard to enter — India barely present
0902,Tea,6754,1414,21,Strong lane — India sells well here
0903,Mate,185,0,0,Hard to enter — India barely present
