hs_code,product,world_imports_usd_m,india_exports_usd_m,india_share_pct,signal
0904,Pepper; dried/crushed Capsicum & Pimenta,4678,1415,30,Strong lane — India sells well here
0905,Vanilla,600,4,1,Hard to enter — India barely present
0906,Cinnamon,780,12,2,Hard to enter — India barely present
0907,Cloves,622,15,2,Hard to enter — India barely present
0908,"Nutmeg, mace & cardamoms",946,134,14,Moderate presence
0909,"Anise, coriander, cumin, caraway seeds",1470,812,55,Moderate presence
0910,"Ginger, turmeric, curry & other spices",3341,507,15,Strong lane — India sells well here
0901,Coffee,41786,746,2,Hard to enter — India barely present
0902,Tea,5512,707,13,Moderate presence
0903,Mate,143,0,0,Hard to enter — India barely present
